,Tweets,Time,Username
0,Create and make and live in 2014. #makermovement @make @makerfaire #makerfaire http://instagram.com/p/inQ9sIuPWM/ ,12/31/2013,rileywilkinson
1,The Year of 100 Maker Faires @MakerFaire: http://wp.me/p22K2I-1wGV  via @make,1/1/2014,gidgev
2,"“Arduino Near-Field Communication“  #Arduino #Electronics #General #DonColeman #MakerFaire,NearFieldCommunicat... http://bit.ly/1cWYsQ5 ",1/1/2014,Tingout
3,Is DIY set for a revival in 2014? find out more  @instructables @sugru @repaircafe @makerfaire @goodlifecentre  http://bit.ly/1gV4sIb ,1/10/2014,Oliver_Heath
4,"An excellent blog post about @BBCRD North Lab’s MakerFaire installation, something I worked on a few months ago http://www.bbc.co.uk/rd/blog/2014/01/visualising-the-internet …",1/13/2014,brooksoid
5,Oslo Maker of the Year is Erik Thorstensson of @creatables who wins a trip to #makerfaire Bay Area! #makerfaireoslopic.twitter.com/FGxLCE9koh,1/18/2014,dalepd
6,2013: awesome year 4  #makers w 100 #makerfaire around the world! @make @SherryHuss @dalepd @OpenROV @elihuu @sfmade http://makezine.com/2014/01/01/the-year-of-100-maker-faires/ …,1/2/2014,instigating
7,Tickets are now on sale for the @makerfaire_uk #Newcastle - the greatest show and tell on Earth @scienceatlife http://www.getintonewcastle.co.uk/2014/01/a-weekend-of-wonders-at-maker-faire-uk-2014/ …,1/20/2014,NewcastleNE1
8,Maker Faire Oslo kicks off the 2014 maker season. Dale Dougherty reports. http://bit.ly/1bRtSWy  @dalepd @makerfaire,1/21/2014,make
9,Maker Faires RoboBrrd & friends want to go to: UK • MTL • NY • BAY AREA • DUBLIN#makerfaire @makerfaire @make :Dpic.twitter.com/iVmmICyCY6,1/22/2014,RobotGrrl
10,Sci-fi fans listen up! There'll be a conversational robotic version of legendary author Philip K. Dick @makerfaire_uk http://www.makerfaireuk.com/2014/01/10/headline-maker-hanson-robotics-philip-k-dick-android/ …,1/22/2014,scienceatlife
11,".@Joey_Hudy: One of the first Young Makers (http://youngmakers.org/ ) at @makerfaire '11. Tonight, he'll join @FLOTUS http://www.whitehouse.gov/blog/2014/01/27/first-ladys-box-seats-2014-state-union …",1/28/2014,MakerEdOrg
12,FAB10 Barcelona just opened registration! http://www.fablabbcn.org  @3d_printers @3dsystemscorp @TrotecLaserBV @lasersaur @ShopBot @makerfaire,1/8/2014,fablabbcn
13,There’s a #MakerFaire in That iPad! 10 Ways to Create #Student Makers With Apps http://bit.ly/1fkTsAu  #edchat,2/17/2014,BrightBytes
14,"http://www.whitehouse.gov/makerfaire  is an actual URL, that's pretty cool, good work @make @makerfaire @dalepd @SherryHuss & team",2/3/2014,adafruit
15,Announcing the First White House Maker Faire @make @makerfaire  #Imadethishttp://adafru.it/b94909 ,2/3/2014,adafruit
16,"3D printing is powering makers, Let us know how we can help bring more makers to the @WhiteHouse at @makerfaire! #IMadeThis",2/3/2014,shapeways
17,White House Announces Plans to Host Maker Faire in 2014 at White House. http://www.whitehouse.gov/blog/2014/02/03/announcing-first-white-house-maker-faire … @make @makerfaire  #Imadethis #makerfaire,2/3/2014,dalepd
18,Accepted to @makerfaire_uk in April -> http://www.tog.ie/?p=6052 ,2/4/2014,TOG_Dublin
19,"Drones. 3D Printing. The Future. @MakerFaire_TO is back for 2014 at @torontolibrary, November 22-23. Save the dates! http://makerfairetoronto.com ",2/4/2014,MakerFestivalTO
20,YES IT'S TRUE! @MakerFaire_TO 2014 will be hosted at the @torontolibrary! #tplmakers pic.twitter.com/KeWwziD846 :))),2/4/2014,MakerFestivalTO
21,"Get ready for @WhiteHouse @makerfaire with your ""Don't be bored..@make  something"" Bracelets at LWJM.USpic.twitter.com/qQtAmd0SrZ",2/4/2014,Joey_Hudy
22,White House to announce its first-ever @makerfaire this year: http://j.mp/1amigf9 ,2/4/2014,collabfund
23,are you a maker? @WhiteHouse plans to have its own @makerfaire later this year. http://1.usa.gov/1eUwDDD  (h/t @CNET ),2/5/2014,scifri
24,WHOA! The White House announced plans to host its own #MakerFaire in 2014! http://owl.li/ti9L2 ,2/5/2014,IArtLibraries
25,Who's excited about @makerfaire coming to #London Olympic Park next summer? Great boost to #UK maker scene http://bit.ly/1fOERD0 ,3/10/2014,sugru
26,How @makerfaires found a home in #UK. Feat @makerfaire_uk @MakerFaireBTN @MakerFaireDERBY http://bit.ly/1ioIA9F  /pic.twitter.com/h7aDomX0RS,3/15/2014,sugru
27,"At #IPCshow in Las Vegas, @HakkoUSA is ""teaching people how to solder"" using #MakerFaire LED robot pins. Pretty cool! pic.twitter.com/hSwikz6TYu",3/26/2014,netduino
28,"Gearing up for the Eindhoven Makerfaire, stop by our booth to meet our designers and pick up one of these! pic.twitter.com/GuK8FNKFn5",3/29/2014,shapeways
29,We're all set up in the Klokgebouw for Eindhoven's first mini #MakerFaire come down and say hi! pic.twitter.com/oBxiKyNkHW,3/29/2014,shapeways
30,Scope pro snowboarder Mike Basich's DIY off-grid mountain cabin and see him speak @makerfaire http://bit.ly/OM0JTI  @GoPro @FLOWsnowboardn,4/10/2014,make
31,Main Library in Aarhus is hosting the first Mini Makerfaire in DK. We are searching for makers - join us: http://www.makerfaire.dk  #mmfaarhus,4/10/2014,sidselbech
32,"New tune: I got a @WikiHouse in my truck, I got a Wikihouse in my truck... @SketchUp  en route for @makerfaire ;) pic.twitter.com/dGDesbmEeR",4/11/2014,Omar_Soubra
33,".@AJAMStream is back! Join us 12:30pmE Tuesday for a fun, inspiring show on the ""Maker"" movement w/ @techshop @makerfaire @dylan20 @BenUyeda",4/14/2014,WajahatAli
34,Looking forward to @SundayBrunchC4 this Easter morning featuring our very own @makerfaire_uk @nthatchable #makerfaireuk #sundaybrunch #6days,4/19/2014,scienceatlife
35,"Looking forward to bringing the family to @makerfaire_uk next week, last three years have been great and can't wait to see this years!",4/19/2014,SteffenPeddie
36,Today I am heading to China for this weekend's Maker Faire Shenzhen.  Plan to visit factories and meet new makers. @makerfaire @make,4/2/2014,dalepd
37,Agnes the knitting robot on channel 4's #sundaybrunch to highlight @makerfaire_uk @scienceatlife in Newcastle next weekend.,4/20/2014,CraftsCouncilUK
38,"So, inventors and DIY enthusiasts galore are all heading for @makerfaire_uk in Newcastle soon – we’re going to find out what it’s all about…",4/20/2014,SundayBrunchC4
39,RT @tomvanvu: T-minus 25 days til @makerfaire in San Mateo. What is Maker? #MakerMovement #Embedded #Creative #Education #Tech...,4/21/2014,makerfaire
40,MakerFaire Rome: the european call for makers is online! Join us http://bit.ly/1ibUD6d ,4/22/2014,arduino
41,We'll be holding our annual meetup at @makerfaire_uk on Friday. Drop by if you're interested in hackerspaces!https://groups.google.com/d/msg/uk-hackspaces/XS283rsHTGo/JtQLYMlzF_AJ …,4/22/2014,ukhackspaces
42,This is the Jinqiao Mini Maker Faire you are looking for @make @JinqiaoMakers #make #makerfaire pic.twitter.com/rhwHtyLA7K,4/25/2014,jenniferchapman
43,"MakerFaire embodies DIY culture, Shenzhen is the world centre of mass manufacture: what happens when they meet? By mehttp://www.theguardian.com/science/political-science/2014/apr/24/making-in-china-maker-faire-shenzhen-global-politics-maker-movement?view=desktop …",4/25/2014,gsvoss
44,"Prototype of the Olympic texting game for @makerfaire using @arduino, @XBeeWireless powered by @atmel and @sparkfunpic.twitter.com/nW5juXd5NW",4/26/2014,Qtechknow
45,Was soldering for 1st time in 15 yrs thanks to @maltman23 @makerfaire_uk (notice it's not pink!) Highly recommended!pic.twitter.com/OEEamsYxvF,4/26/2014,ChiOnwurah
46,The third event we're at today: Westport mini #makerfaire in CT. Come find out what #3dprinting means for you!pic.twitter.com/hY5anNH3CS,4/26/2014,shapeways
47,My stall for @shapeways today at @makerfaire_uk had a lot of attention!pic.twitter.com/Zj87i8r14m,4/26/2014,steventgray
48,Meet giant eco-robot Binbot this weekend at @makerfaire_uk at @scienceatlife -  http://dailym.ai/1fiFsh3  #makerfaireukpic.twitter.com/yJwLNny6yJ,4/26/2014,northnews
49,"Up next @makerfaire_uk, excited for @doctorow talk on the main stage.#makerfaireuk #makerfaire pic.twitter.com/VixyYc0ztd",4/26/2014,CandaceKuss
50,Congratulations to @scienceatlife & @makerfaire_uk on a fantastic Maker Faire so pleased to have been involved as a volunteer #makerfaireuk,4/27/2014,devinedruid
51,"…and that’s a wrap for @makerfaire_uk, http://makezine.com/2014/04/27/the-maker-faire-uk-roundup/ …. See you all next year! #makerfaire #makerfaireukpic.twitter.com/7GV0SXR8fG",4/27/2014,aallan
52,@jonty 's highlight of the @makerfaire_uk  weekendpic.twitter.com/hOLx9uCaWf,4/27/2014,MarkMellors
53,"#inspired at @makerfaire_uk , where else could you go to see a fire breathing dragon, fibre optic floor tiles and stormtroopers?",4/27/2014,LoveScienceHQ
54,It's no word of a lie this @makerfaire_uk is the best thing I've ever been to.,4/27/2014,PlayfulLeeds
55,"If you already have a laser, just add sharks, http://makezine.com/2014/04/27/just-add-sharks-to-maker-faire-uk/ …. #makerfaire #makerfaireuk #laserspic.twitter.com/YaCJgpDUtJ",4/27/2014,aallan
56,"We are checking out @makerfaire_uk today, ahead of our own Manchester Mini Maker Faire in July http://www.mosi.org.uk/whats-on/manchester-mini-maker-faire.aspx … #makerfaireuk #MMMF",4/27/2014,McrSciFest
57,That's @globacore's #PaperBoyVR! RT @MakerFaire_TO: Did we say #fitctoronto rocks? This is why (3of?)pic.twitter.com/BWrorBeWC3,4/28/2014,FITC
58,"15 Science Experiments You Can Do With Your Kids http://shar.es/SnkYn  via @sharethis  #DIY, #science #fun #MAKE",4/28/2014,makerfaire
59,"Great news for our Atlanta community! Our Mini Maker Faire is now a full fledged Maker Faire! @makerfaire @dalepd - Thank you, Maker Media!",4/29/2014,jamesfloydkelly
60,Here it is! @N_alomary has written a wonderful overview of last weekend's @makerfaire_uk - http://bit.ly/1hN0fIE pic.twitter.com/6UEk6OxMCN,4/29/2014,MkThingsDoStuff
61,Getting ready for the Shenzhen #MakerFaire at the Hong Kong wearables lab! pic.twitter.com/bNZi5V8R0u,4/4/2014,shahoo
62,@Crowdrooster off to Hong kong and then Shenzhen #MakerFaire to spread Love! @francescoffs @Ale_Rovati,4/4/2014,FrGatti
63,"We've been accepted to exhibit Novena at @MakerFaire Bay Area on 17 and 18 May, 2014. Come see us there. http://makerfaire.com ",4/5/2014,xobs
64,"Get your copy of Adventures in @Raspberry_Pi ready for #makerfaire Bay Area, I’ll be there to sign it for you! http://www.amazon.com/Adventures-Raspberry-Carrie-Anne-Philbin/dp/1118751256/ref=sr_1_1_title_0_main?s=books&ie=UTF8&qid=1399832427&sr=1-1&keywords=adventures+in+raspberry+pi …",5/11/2014,MissPhilbin
