,Tweets,Time,Username
0,この質問MakerFaireで結構言われた。その時思ったのは、結局のところ、「すげー！という驚き」か「役に立ちそうなお得感」のどちらかでも提供できたらこの質問はされないだろう…ということ > 「これ何の役に立つんですか？」という質問。http://titech-ssr.blog.jp/archives/1016709812.html …,12/31/2014,hirax
1,GeeksでのMaker Faire Bay Area 2014レポートアメリカの現場に行って取材しました。今後アメリカのメイカーズ情報を随時UPするので要チェック。#geeks #makerfairehttp://geeks-keyofmake.com/articles/12 ,12/31/2014,Geeks_KeyOfMake
2,@nemesis__divina ラーメンMakerFaireの機運が高まる,12/31/2014,Fantom_JAC
3,. @spark_io did you ever write-up how you made the blimp for @makerfaire Bay Area? 'Cause I've got this flying shark. No need to reinvent.,12/31/2014,dcschelt
4,Maker Faire Kansas City Report - Geeks  http://geeks-keyofmake.com/articles/23  #geeks #makerfaire #makerfairekc,1/1/2015,Geeks_KeyOfMake
5,#3Dprinting Cars http://3dprint.com/34266/automotive-3d-printing-industry/ … My picture from the @makerfaire. pic.twitter.com/B9HUcPjTtW,1/1/2015,DrRimmer
6,#MakerFaire @WhiteHouse a monumental event in #STEM education in 2014. http://ow.ly/GDKZw ,1/1/2015,informalscience
7,Last week to apply to make at the @bouldercolorado Mini #MakerFaire! Application: http://ow.ly/FPSzd ,1/1/2015,MakerBoulder
8,Get ready for the next #makerfaire. Learn #arduino and #robotics from an expert! #Makerspace lessons beg Jan 8http://www.cilk119.com/ ,1/1/2015,drdunc1000
9,We're applying for our 2015 @makerfaire date. Stay tuned for our date announcement and Call for Makers opening. :),1/10/2015,MakerFaireDover
10,My @MakerFaire Talk on how to take a @MakerBot 3D-printed rocket to Mach 1.8 http://ift.tt/1y7OFjG pic.twitter.com/BXqEbkTiAN,1/12/2015,FutureJurvetson
11,#ThemesWeLove Don’t miss this Theme on the critically #endangered Hawksbill Turtle : http://ow.ly/HbVJ8  #Animals #MakerFaire #EdChat,1/12/2015,Themeefy
12,"#Makerspace host of Oakland, CA Mayor's Inaugural Ball (slideshow) http://ow.ly/HcYwB    @LibbySchaaf @AmSteelStudios #MadeInOakland",1/12/2015,makerfaire
13,"Save the dates for Maker Faire Bay Area, May 16th & 17th. Celebrating our 10th Anniversary! http://makerfaire.com  #MFBA15 #MakerFaire",1/12/2015,makerfaire
14,Rad to see World #MakerFaire moments infused into this Great Hall/NYSCI 50th anniversary commemoration vid: https://vimeo.com/112317087 ,1/12/2015,nicknormal
15,Trieste Mini MakerFaire 2015: aperta la Call for Makers!  http://www.makeinitaly.foundation/trieste-mini-makerfaire-2015-aperta-call-for-makers/ … @makertrieste  #makers #fablab,1/12/2015,make_in_italy
16,#HappyNewYear #YoungMaker @Joey_Hudy @Qtechknow @DocProfSky @derekwtang1 Til next @makerfaire I am at @intlCES in @LasVegas xoxo ~Tenaya~,1/2/2015,TenayaHurst
17,#FF 2014 @airrocketworks @makerfaire @NYASEvents for making this vaguely possible http://bit.ly/scorsapitch  and http://bit.ly2015YOURturn,1/2/2015,ST3AMCo
18,@element14 I met the author of this project at the @makerfaire in NYC last September. This is a great project!,1/2/2015,BostonEnginerd
19,@make @makerfaire @NextTopMakers @MakerEdOrg @ChiMakerFaire chk out or recent #blog on #makermovement http://bit.ly/14ibB4g  #rwilo #connect,1/2/2015,RwiloFoundation
20,@alistair @braintree_dev @makerfaire_uk agreed. Really hard to find weekends that don’t clash. Especially when trying to schedule 14 hacks,1/2/2015,cbetta
21,@cbetta @braintree_dev @makerfaire_uk I don't think it will affect many people but you will know better than I.,1/2/2015,alistair
22,"@alistair @braintree_dev @makerfaire_uk tnx, will note it.",1/2/2015,cbetta
23,@cbetta @braintree_dev I don't know if it is of any interest but that is the weekend of @makerfaire_uk.,1/2/2015,alistair
24,"At a #makerfaire, when a #Tesla coil breaks down, this is what happens...http://ow.ly/GBq6c  http://ow.ly/i/86Cft ",1/2/2015,MakerBoulder
25,Save this kitten! VOLUNTEER at the #Boulder Mini #MakerFaire! http://ow.ly/FKGVv  http://ow.ly/i/7UoR5 ,1/2/2015,MakerBoulder
26,Top spot by @netparknet re @astro_pi compo http://bit.ly/Dynamo_AstroPi  fyi @wearebuildIT @scienceatlife @maker_space @makerfaire_uk @Raspberry_Pi,1/2/2015,dynamonortheast
27,#GeekDads What's the best site for finding things to do over the weekend with your son (spot things like #MakerFaire etc),1/2/2015,josh_newnham
28,"+1 RT @HealthcareWen HS student @benhylak built #assisted #living #robot, inspiring to see techy youth 4 eldercare! @makerfaire #wmf14",1/3/2015,GoMagicMakers
29,Catapult engineering for kids using everyday items: http://bit.ly/1CQhXG6  pic.twitter.com/TAYqbuuM2R via @DaNel_Hogan #STEMClub #makerfaire,1/5/2015,sai_path
30,MT @make: Ultimaker announces 2 new printers. http://ow.ly/GU02x  #MakerFaire #3DPrinters #ces2015,1/6/2015,makerfaire
